time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 14:15:59.286885,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:15:38-04:00,15,19%
2020-09-13 14:16:19.402179,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:16:03-04:00,15,19%
2020-09-13 14:16:39.524186,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:16:33-04:00,15,19%
2020-09-13 14:16:59.623533,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:16:48-04:00,15,19%
2020-09-13 14:17:19.748138,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:17:08-04:00,15,19%
2020-09-13 14:17:39.879084,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:17:28-04:00,15,19%
2020-09-13 14:18:00.022093,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:17:28-04:00,15,19%
2020-09-13 14:18:20.155413,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:18:17-04:00,15,19%
2020-09-13 14:18:40.255183,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:18:35-04:00,15,19%
2020-09-13 14:19:00.397725,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:18:53-04:00,15,19%
2020-09-13 14:19:20.527129,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:19:09-04:00,15,19%
2020-09-13 14:19:40.644117,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:19:31-04:00,15,19%
2020-09-13 14:20:00.767457,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:19:47-04:00,15,19%
2020-09-13 14:20:20.886998,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:20:17-04:00,15,19%
2020-09-13 14:20:41.009080,UCB,1916,University Mall Nbnd,1316,N,N,2020-09-13T14:20:35-04:00,14,18%
2020-09-13 14:21:01.132947,UCB,1916,University Mall Nbnd,1316,N,N,2020-09-13T14:20:57-04:00,14,18%
2020-09-13 14:21:21.256292,UCB,1916,University Mall Nbnd,1316,N,N,2020-09-13T14:21:09-04:00,14,18%
2020-09-13 14:21:41.370245,UCB,1916,University City/Broce Nbnd,1318,N,N,2020-09-13T14:21:30-04:00,14,18%
2020-09-13 14:22:01.494076,UCB,1916,University City/Broce Nbnd,1318,N,N,2020-09-13T14:21:56-04:00,14,18%
2020-09-13 14:22:21.618551,UCB,1916,Shawnee on University City Nbnd,1319,N,N,2020-09-13T14:22:11-04:00,14,18%
2020-09-13 14:22:41.751542,UCB,1916,Shawnee on University City Ebnd,1320,N,N,2020-09-13T14:22:35-04:00,14,18%
